▮▮▮▮ root:build-web (ce718f2e)
   0. 7s  INFO Building project...
   0.603s  INFO Compiled [  1/366]: build-script-build
   0.604s  INFO Compiled [  2/366]: build-script-build
   0.606s  INFO Compiled [  3/366]: build-script-build
   0.606s  INFO Compiled [  4/366]: build-script-build
   0.609s  INFO Compiled [  6/366]: build-script-build
   0.612s  INFO Compiled [  9/366]: build-script-build
   0.625s  INFO Compiled [ 13/366]: build-script-build
   0.631s  INFO Compiled [ 15/366]: build-script-build
   0.642s  INFO Compiled [ 16/366]: build-script-build
   0.643s  INFO Compiled [ 17/366]: build-script-build
   0.644s  INFO Compiled [ 18/366]: build-script-build
   0.663s  INFO Compiled [ 20/366]: build-script-build
   0.676s  INFO Compiled [ 21/366]: build-script-build
   0.720s  INFO Compiled [ 22/366]: build-script-build
   0.739s  INFO Compiled [ 25/366]: rustversion
   0.780s  INFO Compiled [ 26/366]: build-script-build
   0.809s  INFO Compiled [ 28/366]: build-script-build
   2.703s  INFO Compiled [ 29/366]: unicode_xid
   2.703s  INFO Compiled [ 30/366]: scopeguard
   2.705s  INFO Compiled [ 31/366]: longest_increasing_subsequence
   2.707s  INFO Compiled [ 32/366]: pin_project_lite
   2.707s  INFO Compiled [ 33/366]: rustc_hash
   2.707s  INFO Compiled [ 34/366]: futures_task
   2.707s  INFO Compiled [ 35/366]: cfg_if
   2.707s  INFO Compiled [ 36/366]: futures_core
   2.707s  INFO Compiled [ 37/366]: unicode_ident
   2.707s  INFO Compiled [ 38/366]: simd_adler32
   2.707s  INFO Compiled [ 39/366]: unicode_ident
   2.719s  INFO Compiled [ 41/366]: dioxus_core_types
   2.735s  INFO Compiled [ 44/366]: futures_sink
   2.741s  INFO Compiled [ 46/366]: futures_io
   2.754s  INFO Compiled [ 47/366]: adler2
   2.774s  INFO Compiled [ 48/366]: slab
   2.779s  INFO Compiled [ 49/366]: smallvec
   2.780s  INFO Compiled [ 50/366]: bumpalo
   2.784s  INFO Compiled [ 51/366]: lazy_js_bundle
   2.786s  INFO Compiled [ 52/366]: version_check
   2.790s  INFO Compiled [ 53/366]: once_cell
   2.794s  INFO Compiled [ 54/366]: arrayvec
   2.797s  INFO Compiled [ 55/366]: log
   2.800s  INFO Compiled [ 56/366]: build-script-build
   2.807s  INFO Compiled [ 59/366]: build-script-build
